degree,count
11,161
18,242
23,61
14,254
16,282
8,47
26,17
19,220
21,152
17,288
24,51
15,280
13,249
10,97
12,193
9,73
20,175
7,13
22,82
25,33
6,9
27,10
30,2
29,3
5,2
28,2
4,1
31,1
22,86
13,230
17,313
15,315
12,197
14,314
18,254
16,264
24,57
11,146
21,109
19,208
20,150
27,13
10,108
23,65
8,26
9,59
25,24
26,21
31,3
7,17
6,5
28,5
29,3
5,5
30,1
33,1
35,1
24,48
12,190
18,270
13,244
15,298
10,103
17,300
14,257
25,38
16,308
19,177
23,53
22,111
8,44
11,134
20,169
9,56
7,23
21,137
27,8
26,12
28,7
29,7
5,1
6,3
30,1
32,1
14,269
10,95
13,258
18,268
17,244
15,302
16,307
8,37
11,137
19,202
24,44
12,187
20,177
33,1
21,137
23,76
6,9
26,17
9,75
22,88
27,7
25,26
4,2
7,22
30,3
5,2
29,4
28,3
31,1
16,309
7,19
18,218
14,291
6,11
12,212
9,65
20,160
13,230
17,310
10,94
15,309
21,147
19,202
11,138
23,57
24,42
22,86
27,12
8,33
25,22
26,20
28,3
31,1
30,2
33,1
29,4
4,1
3,1
17,293
13,242
15,308
20,178
25,30
21,124
16,301
11,145
22,90
19,199
23,73
12,200
14,251
7,19
18,250
8,37
10,115
6,5
26,15
9,50
24,50
27,10
29,5
28,6
32,1
33,1
30,1
5,1
13,241
12,208
14,263
15,270
19,231
16,266
23,72
25,20
11,179
20,163
22,94
17,300
27,13
18,233
21,142
8,32
9,64
24,39
26,17
10,113
6,5
4,2
29,2
28,5
7,21
31,1
32,1
30,1
33,1
5,1
19,210
14,278
11,160
16,290
13,240
10,98
21,134
12,178
22,106
15,307
20,158
17,274
9,67
8,37
18,253
24,43
28,5
6,4
26,12
23,76
7,25
30,5
25,24
27,11
5,3
29,1
4,1
13,272
21,121
9,73
20,169
22,94
11,150
16,298
23,62
17,288
25,29
15,310
18,234
14,280
12,165
19,230
8,36
27,13
10,97
24,30
28,6
26,14
6,4
7,14
31,3
29,4
5,1
30,2
4,1
20,164
14,252
18,251
16,292
19,222
15,310
17,299
12,192
21,136
13,241
7,16
27,8
10,99
22,88
11,152
24,42
23,65
9,64
25,17
28,9
8,40
6,11
4,1
26,23
29,5
31,1
16,296
10,112
17,291
15,274
11,118
14,306
22,84
25,28
20,139
9,74
12,223
13,237
21,116
19,222
18,263
23,74
8,41
6,8
24,39
27,12
7,11
28,8
5,2
29,4
26,16
31,1
30,1
19,209
15,306
20,217
18,257
25,37
13,228
12,191
16,287
10,81
14,309
17,244
22,78
21,127
23,74
24,38
27,7
11,137
6,10
9,62
8,39
7,19
28,13
5,2
26,24
29,3
31,1
16,273
15,303
11,142
18,260
20,173
19,224
13,247
6,7
24,42
10,99
12,195
17,283
9,61
14,278
22,94
23,73
21,118
25,28
8,43
27,8
28,11
5,4
7,20
26,13
29,1
19,203
17,296
8,36
12,204
14,264
11,171
20,187
24,60
15,285
18,235
13,254
21,110
23,62
16,324
22,80
9,63
10,91
6,6
25,26
7,12
26,11
28,11
29,1
3,1
27,5
30,1
5,1
14,290
16,306
31,2
13,219
23,72
18,238
19,220
17,295
12,197
8,42
11,144
15,292
9,56
20,177
10,107
24,41
21,116
22,86
25,29
7,16
28,6
26,14
27,15
5,7
29,1
4,1
6,11
26,20
23,72
12,195
10,101
19,231
24,43
11,146
17,256
21,115
15,294
16,322
13,248
20,169
18,252
22,108
14,266
8,32
25,28
27,11
6,7
9,55
28,3
29,1
7,15
5,4
30,3
32,1
4,2
22,95
20,158
16,297
15,266
11,164
9,59
18,259
19,224
17,271
8,41
14,286
12,187
27,11
21,128
10,101
26,14
13,250
24,52
7,13
23,71
25,27
29,5
6,6
5,4
28,5
30,4
4,1
3,1
18,248
19,204
14,282
12,204
17,289
7,27
11,173
22,73
16,321
20,155
8,42
13,226
15,303
9,53
23,61
24,43
6,7
10,100
21,122
27,19
26,11
25,22
28,7
4,2
29,2
30,3
5,1
16,285
21,114
12,192
13,220
15,307
14,296
17,285
11,147
19,216
9,70
23,78
20,165
18,259
22,93
27,9
10,100
24,51
25,24
8,37
31,3
7,7
6,9
26,18
29,3
5,3
28,8
30,1
14,267
16,315
11,131
15,299
22,84
20,149
18,251
19,190
12,190
17,307
24,51
21,112
6,11
23,74
13,232
10,110
8,43
7,25
9,80
25,36
26,18
4,2
5,6
29,5
27,5
32,1
28,4
30,2
