degree,count
9,21
6,7
7,12
12,12
10,19
8,15
5,3
18,2
14,4
4,2
16,4
11,16
13,4
15,5
2,1
19,1
12,13
11,18
8,21
6,8
14,7
10,19
9,8
16,4
5,4
3,2
7,14
15,2
4,2
13,6
13,3
7,11
3,1
5,6
6,8
8,14
10,24
12,19
11,18
9,17
15,4
14,2
16,1
10,13
12,12
16,4
6,10
9,20
17,1
8,15
7,10
11,14
14,7
5,11
13,4
15,1
4,3
3,1
18,1
2,1
9,22
12,14
11,18
13,9
15,4
8,11
6,7
17,1
10,14
7,15
14,1
4,2
3,1
16,4
5,4
18,1
10,16
7,15
17,1
13,10
9,15
15,6
12,7
8,11
11,17
16,3
6,10
21,1
5,5
14,8
4,1
3,2
7,23
12,14
9,24
5,8
15,2
10,10
4,6
11,10
6,10
8,11
13,5
16,3
14,2
5,4
7,15
10,17
9,20
8,18
6,6
11,16
12,13
15,2
14,6
3,2
4,2
13,4
2,1
17,1
16,1
10,16
13,10
3,3
6,6
11,16
12,13
7,13
9,12
15,9
14,7
8,14
5,3
17,1
18,1
4,2
1,1
16,1
7,6
10,18
15,2
11,17
8,16
14,8
12,11
9,21
5,8
13,9
4,3
3,1
6,6
16,1
18,1
10,16
13,11
4,1
11,17
5,8
12,11
14,4
7,14
8,15
18,2
6,10
9,8
17,3
15,4
2,1
16,2
3,1
14,7
9,21
8,15
6,15
10,13
7,11
12,11
16,7
13,7
15,2
11,12
17,3
4,1
3,1
20,1
5,1
13,7
4,4
14,7
5,4
6,10
15,8
9,20
10,16
7,12
17,2
8,10
11,15
18,1
12,11
16,1
9,14
8,11
13,15
11,22
3,1
6,8
17,2
15,4
7,10
10,18
12,6
5,5
14,6
18,2
21,1
4,1
16,2
5,2
6,12
11,13
9,16
7,12
16,2
10,17
12,13
3,2
13,16
8,13
14,8
4,1
15,1
10,10
12,14
11,20
9,19
15,4
8,21
3,1
6,13
4,2
13,6
14,4
7,8
5,6
11,14
13,9
8,20
14,4
6,11
9,14
12,12
10,19
7,13
17,1
5,6
16,1
4,2
15,1
2,1
6,9
10,15
9,21
8,16
14,6
11,16
12,12
7,11
2,1
5,3
16,2
15,3
17,1
13,6
18,1
4,4
3,1
11,19
12,9
8,14
9,12
13,10
7,18
10,20
6,7
5,5
15,6
16,3
14,5
9,24
11,12
7,10
8,14
17,1
13,7
10,16
14,7
6,11
12,12
4,6
5,6
15,2
