degree,count
391,1
252,1
154,1
33,2
203,1
54,2
161,1
77,1
57,4
62,1
103,1
134,1
48,2
63,1
30,6
70,2
32,4
112,1
99,1
41,2
76,1
15,51
42,4
68,1
80,2
26,5
96,1
44,2
28,7
47,3
21,23
17,31
37,3
43,3
66,1
69,1
25,10
53,2
65,1
39,2
29,10
27,10
49,1
20,14
45,2
24,11
55,2
46,3
13,81
52,1
58,1
40,2
51,1
36,1
23,8
35,3
19,17
31,6
60,1
18,28
11,106
12,91
8,243
9,184
22,11
10,146
16,33
14,61
7,346
34,3
6,523
5,847
4,13
589,1
134,1
177,1
152,1
52,1
107,1
91,1
20,18
139,1
122,1
106,1
126,1
142,1
96,1
56,1
54,2
50,3
68,2
67,1
55,2
77,1
70,1
37,5
42,5
29,10
31,4
44,4
33,4
53,1
48,1
24,12
100,1
61,2
26,8
34,1
51,3
23,11
21,14
35,3
74,1
22,25
27,7
32,4
49,1
41,2
19,14
17,29
40,4
28,7
66,1
45,4
9,180
38,3
60,1
16,37
59,1
15,50
36,2
25,6
18,24
30,4
14,46
12,78
8,268
11,117
10,124
43,1
39,1
13,70
4,23
7,366
5,856
6,510
433,1
224,1
232,1
72,2
130,1
104,1
202,1
85,1
176,1
58,1
54,2
38,2
65,1
139,1
21,12
66,1
29,9
92,1
78,1
73,1
50,1
64,1
95,1
41,3
55,2
76,1
70,1
44,4
43,1
46,5
63,2
30,8
61,1
49,1
31,7
42,3
19,29
60,2
25,7
16,36
34,6
40,3
39,2
91,1
37,5
26,9
32,3
22,16
35,2
28,8
24,13
36,4
23,12
27,6
12,84
18,27
11,95
6,531
17,33
10,136
7,385
13,57
14,54
15,51
20,19
33,2
9,166
8,250
5,849
4,13
490,1
115,2
297,1
153,1
121,1
84,1
76,3
52,3
91,1
124,1
80,1
72,1
48,5
45,2
88,1
65,1
33,6
27,8
94,1
79,1
60,1
23,18
56,2
55,3
37,3
17,26
78,1
83,1
41,2
66,1
14,51
42,4
44,2
36,4
12,84
22,16
20,19
49,1
34,4
19,25
43,1
46,1
35,2
