degree,count
837,1
358,1
123,1
208,1
178,2
229,1
63,4
70,1
127,1
98,1
140,1
128,2
72,3
151,1
119,1
43,5
76,2
41,6
47,7
126,1
39,3
52,1
103,1
85,1
71,3
90,1
88,1
27,20
156,1
60,1
19,61
64,3
29,11
40,4
66,1
67,1
55,3
73,2
59,1
92,1
50,4
81,1
77,1
48,4
53,3
35,8
87,1
25,20
89,1
24,28
80,1
17,81
34,14
7,677
51,4
46,3
38,7
68,1
100,1
15,86
65,2
32,9
36,6
82,1
22,17
26,12
21,37
28,15
44,3
49,4
45,3
31,6
33,6
42,2
69,1
14,118
23,27
13,120
20,26
16,76
37,4
18,58
30,10
10,252
12,169
6,1081
9,363
11,207
8,491
4,16
5,1748
744,1
140,2
178,1
157,1
179,1
332,1
132,1
69,1
41,6
124,2
118,1
169,1
62,2
159,1
38,6
130,1
44,4
81,1
115,1
129,1
66,2
45,4
61,2
36,7
92,1
59,3
131,1
103,1
68,2
31,17
46,5
51,3
77,1
34,10
76,1
58,7
83,1
40,7
26,18
123,1
35,4
98,1
25,15
71,1
65,2
74,1
54,3
33,11
67,1
16,64
27,29
24,23
18,55
29,14
23,33
50,4
42,5
70,1
80,1
63,1
105,1
39,4
57,2
15,93
56,2
28,12
91,1
30,10
17,65
48,2
11,214
79,1
75,1
60,1
19,39
21,27
22,21
32,8
82,1
43,1
20,37
37,4
52,1
13,140
14,108
10,251
12,168
47,1
9,390
49,1
8,525
6,1032
7,727
5,1699
4,11
650,1
579,1
182,1
323,1
154,1
177,1
120,2
83,1
143,1
41,4
63,1
101,1
68,3
115,1
52,3
71,1
80,1
114,2
74,2
18,48
22,36
76,2
97,1
106,1
59,1
102,1
96,1
37,7
94,2
75,1
10,271
93,1
58,4
60,2
81,2
32,4
87,2
108,1
56,1
47,7
55,1
77,1
70,2
57,2
69,2
16,74
84,2
34,7
40,9
90,1
48,2
36,7
30,9
43,3
29,18
31,15
33,7
39,10
23,21
35,6
24,20
49,1
53,3
25,25
27,21
19,43
8,473
45,3
26,21
38,4
44,2
46,1
21,40
15,87
20,52
28,19
51,1
12,158
42,1
50,1
13,137
54,2
17,63
9,385
14,94
7,723
11,198
6,1077
5,1708
4,13
634,1
271,1
100,2
320,1
235,1
208,1
219,1
79,1
111,2
159,1
63,2
199,1
78,2
77,2
84,1
71,1
51,1
93,1
21,39
138,1
44,2
57,1
39,4
97,1
99,2
116,1
98,1
131,1
184,1
58,5
53,1
50,1
35,8
40,6
85,1
27,16
32,14
49,1
74,1
56,5
48,7
70,1
46,5
37,11
52,3
41,4
61,1
38,10
23,29
65,1
47,6
26,21
42,6
15,76
60,1
43,3
36,9
72,1
22,22
24,18
25,11
45,4
54,2
19,43
28,9
33,11
17,55
29,14
13,132
123,1
31,11
76,1
20,35
12,208
62,1
18,53
30,18
11,221
16,66
10,281
34,8
14,121
8,481
6,1068
9,350
7,723
4,13
5,1687
3,1
765,1
181,1
157,1
89,1
96,1
306,1
224,1
174,1
112,1
141,1
120,1
80,3
231,1
205,1
41,8
123,1
187,1
55,2
40,6
70,1
109,1
47,4
59,2
33,7
107,1
90,1
61,3
73,2
58,4
106,1
68,3
84,1
99,1
97,1
24,22
26,23
30,10
48,7
50,6
37,11
25,23
94,1
100,1
35,10
67,1
34,8
44,3
71,2
110,1
43,3
57,2
38,10
45,4
62,1
20,47
31,11
21,28
52,3
60,1
39,7
88,2
22,29
32,4
46,4
28,13
19,34
75,1
12,164
29,13
14,107
36,4
23,24
53,1
13,141
27,14
18,52
42,2
8,473
10,298
16,73
15,86
17,52
11,207
51,1
7,719
72,1
6,1099
9,373
5,1683
4,13
822,1
187,1
179,1
229,1
150,1
197,1
203,1
101,1
166,1
159,1
115,1
62,3
127,1
74,2
148,1
132,1
81,1
126,1
44,4
133,1
59,2
92,1
142,1
116,1
100,2
17,63
32,16
85,1
41,6
71,1
54,3
35,13
42,7
36,12
84,2
46,4
29,16
49,3
14,107
52,3
68,2
40,6
27,14
37,6
76,1
51,2
34,7
64,1
70,2
67,1
80,1
30,12
39,3
73,1
18,53
57,4
56,2
47,6
69,1
48,2
58,1
43,2
45,2
61,1
55,1
20,30
23,26
26,23
24,25
28,15
31,12
66,1
13,121
10,261
16,74
38,8
12,153
15,69
22,26
19,53
53,1
50,1
21,42
11,229
6,1084
25,14
33,5
8,530
7,716
9,342
5,1696
4,19
700,1
185,1
217,1
398,1
187,1
240,1
68,2
173,1
70,1
146,1
156,1
119,1
99,1
112,2
100,1
66,2
34,7
96,2
88,1
57,2
47,3
82,2
92,2
61,3
83,1
62,2
71,1
89,2
110,1
81,1
67,1
120,1
41,3
35,12
22,34
39,8
38,7
138,1
23,23
53,3
42,6
25,17
124,1
55,4
50,2
97,1
48,6
37,6
20,33
54,1
21,41
51,2
26,13
29,11
36,6
49,3
56,1
40,4
30,19
28,8
103,1
44,5
31,13
16,85
84,1
58,1
63,1
33,9
65,1
14,117
46,6
45,1
60,1
43,4
18,45
15,88
12,198
17,64
32,10
79,1
72,1
27,10
11,200
13,128
9,384
52,1
24,15
19,38
10,259
8,489
6,1083
7,702
5,1699
4,12
810,1
133,1
541,1
137,2
119,1
151,1
201,1
60,1
175,1
106,1
97,2
139,1
40,4
66,5
90,1
120,1
69,2
98,1
72,1
111,2
101,1
70,1
62,1
65,3
87,2
94,2
43,5
24,19
29,14
42,3
126,1
71,1
76,2
41,5
31,16
57,2
51,2
92,1
52,4
64,3
46,4
50,2
73,1
44,7
49,2
15,83
58,2
34,12
81,1
37,3
18,56
33,4
55,3
30,8
47,2
48,2
35,5
59,2
17,64
27,15
84,1
54,1
45,3
28,17
20,48
26,21
36,10
39,7
68,1
13,107
23,21
67,1
22,28
32,9
25,18
21,40
19,51
11,209
99,1
16,74
12,179
38,4
56,1
8,495
14,105
10,261
9,375
7,724
6,1025
5,1746
4,19
3,1
872,1
299,1
245,1
305,1
114,2
198,1
109,1
183,1
56,2
139,1
83,2
74,2
64,2
88,2
55,1
82,2
57,1
113,1
91,1
58,5
32,8
186,1
126,1
47,3
120,1
60,1
54,4
31,12
124,1
90,1
68,3
71,2
75,1
24,33
42,4
128,1
49,2
26,19
51,4
97,1
46,1
87,1
37,8
20,38
48,4
50,1
65,2
38,5
30,10
59,1
89,1
52,1
15,90
45,4
27,17
34,14
35,9
14,114
40,7
21,32
25,24
62,1
53,1
33,13
28,15
29,11
19,36
39,4
41,5
80,1
44,1
17,76
22,29
16,71
70,1
23,30
67,1
9,383
10,265
11,181
18,49
12,181
36,3
13,129
8,503
5,1677
7,685
6,1108
3,1
4,21
720,1
347,1
291,1
147,1
214,1
221,1
96,3
61,2
116,1
122,1
194,1
33,15
129,1
87,2
154,1
89,1
67,1
101,1
52,3
45,6
51,2
62,2
88,1
82,1
30,12
46,1
108,1
115,1
175,1
77,1
92,2
28,17
48,4
43,4
103,1
44,4
37,11
35,9
69,1
29,12
50,4
85,2
66,3
56,7
42,1
26,20
60,1
18,52
107,1
73,1
24,28
36,10
55,1
58,1
75,1
22,29
27,19
34,6
40,8
78,2
31,9
39,4
21,28
16,86
25,15
9,349
19,55
54,2
59,2
41,4
71,1
38,3
20,29
15,92
17,63
49,1
32,10
10,265
14,105
11,220
12,181
8,503
53,2
13,116
23,23
6,1046
7,723
5,1717
4,16
863,1
273,1
221,1
180,1
289,1
175,1
100,1
118,1
134,1
43,7
93,1
84,1
94,1
292,1
89,1
59,1
22,35
122,1
57,4
56,2
50,4
207,1
52,2
36,7
51,2
113,1
60,2
74,1
71,1
49,3
70,1
114,1
81,1
82,1
88,1
41,10
138,1
46,4
45,5
79,2
64,1
26,22
61,3
98,1
83,1
65,3
28,15
54,2
34,8
32,9
91,1
25,21
55,3
24,21
27,17
33,13
29,14
37,9
38,3
73,2
16,78
17,60
19,40
30,9
39,4
23,23
63,1
31,9
18,44
35,8
58,1
44,4
47,2
20,44
12,178
8,503
15,102
40,4
21,36
53,1
13,123
14,115
42,2
11,196
5,1722
9,363
10,242
7,735
6,1051
4,16
1003,1
149,1
212,1
191,1
234,1
175,1
116,1
93,3
66,3
161,1
72,3
156,1
70,2
121,1
73,2
77,2
158,1
122,1
54,3
41,5
177,1
163,1
140,1
13,135
59,5
95,1
84,2
48,3
110,1
91,1
32,12
62,2
53,5
56,2
26,11
80,1
38,11
64,1
31,8
39,5
50,4
23,37
49,4
71,1
79,2
78,1
11,217
35,7
17,55
101,1
42,4
27,17
47,2
40,1
37,5
19,44
24,29
74,1
25,22
45,2
36,7
44,3
58,2
57,2
29,12
43,3
65,2
28,17
85,1
33,7
34,6
52,2
16,68
30,11
14,112
20,34
6,1082
46,2
15,81
21,27
18,49
55,1
22,24
12,168
10,267
8,529
7,720
9,368
5,1677
4,16
778,1
171,1
316,1
330,1
132,1
152,1
113,1
57,3
259,1
212,1
78,1
83,3
100,1
84,1
90,2
131,1
22,29
153,1
137,1
55,3
72,4
46,3
47,2
105,1
99,1
65,3
69,1
21,31
94,1
27,23
37,8
26,23
64,2
71,1
44,7
36,12
87,2
53,3
35,4
107,1
15,85
48,1
38,11
81,1
45,1
41,8
40,7
32,10
74,2
70,2
29,13
43,6
42,4
91,1
19,39
33,3
62,2
51,2
75,1
123,1
39,5
59,2
18,55
23,28
25,18
24,26
28,15
50,4
17,57
16,60
68,1
20,32
34,8
14,113
8,488
31,7
66,1
49,1
11,236
12,179
77,1
30,6
52,1
10,283
6,1063
9,374
7,719
13,112
5,1702
4,15
341,1
546,1
370,1
107,1
87,2
137,1
261,1
180,1
100,1
69,2
184,1
118,1
156,1
90,1
121,1
97,1
98,2
129,1
84,2
83,1
85,1
67,2
66,2
43,6
82,2
65,2
49,3
88,2
53,5
113,1
